Linjenr,Løpenummer,Navn,Type,Hovedeier,Org_nr__hovedeier,Fylke,Fylkesnr_,Kommune,Kommunenr_,Dato_for_første_utnyttelse_av_fallet,Dato_for_eldste_kraftproduserende_del,Maks_ytelse_.MW.,Midl__årsproduksjon_.ref__1981.2010._.GWh.,Brutto_fallhøyde_.m.,Maksimal_slukeevne_.m3.s.,Energiekvivalent_.kWh.m3.,Elspotområde,Reginenr,Vannregion,Year_start,PZ
835,1924,Geitåni,Kraftverk,GEITÅNI_KRAFTVERK_AS,995705737,Vestland,46,Voss,21,19.04.2018,19.04.2018,4.62,15.6,264,2.13,0.603,5,062.B2,62,2018,4
843,1925,Tesgjolo,Kraftverk,TESGJOLO_KRAFT_AS,917737258,Vestland,46,Voss,21,25.01.2018,25.01.2018,0.99,5.6,189.3,0.67,0.41,5,062.E1Z,62,2018,4
877,1937,Sandneselva,Kraftverk,SMÅKRAFT_GREEN_BOND_1_AS,921075758,Vestland,46,Masfjorden,34,22.08.2018,22.08.2018,2.29,6.8,212.73,1.3,0.489,5,67.1,67,2018,4
944,1907,Eldao,Kraftverk,ELDAO_KRAFTVERK_AS,913347412,Vestland,46,Luster,44,25.10.2018,25.10.2018,9.8,29,201,5.8,0.469,5,077.C4Z,77,2018,4
947,1908,Svardøla,Kraftverk,SVARDØLA_KRAFT_AS,915148301,Vestland,46,Luster,44,20.12.2018,20.12.2018,9.2,30,397,2.84,0.9,5,077.D,77,2018,4
955,1914,Berge,Kraftverk,FJÆRLAND_KRAFT_AS,916498721,Vestland,46,Sogndal,40,06.03.2018,06.03.2018,7.96,22.3,425,2.4,0.921,5,078.21Z,78,2018,4
956,1915,Bjåstad,Kraftverk,FJÆRLAND_KRAFT_AS,916498721,Vestland,46,Sogndal,40,22.03.2018,22.03.2018,5.19,14.4,385.83,1.68,0.858,5,078.21Z,78,2018,4
959,1910,Hatlestad,Kraftverk,FJÆRLAND_KRAFT_AS,916498721,Vestland,46,Sogndal,40,26.04.2018,26.04.2018,4.49,12.1,626.35,0.85,1.467,5,78.32,78,2018,4
961,1913,Jordal,Kraftverk,FJÆRLAND_KRAFT_AS,916498721,Vestland,46,Sogndal,40,02.02.2018,02.02.2018,6.06,20.8,256,2.9,0.58,5,078.4A,78,2018,4
985,1892,Brekkefossen,Kraftverk,BREKKEFOSSEN_KRAFTVERK_AS,992484918,Vestland,46,Fjaler,46,24.01.2018,24.01.2018,3.8,9.6,86,5,0.211,3,082.5D,82,2018,4
1023,1921,Helgheim,Kraftverk,NYDALSELVA_KRAFT_AS,893040412,Vestland,46,Sunnfjord,47,07.05.2018,07.05.2018,2.7,7.4,241.7,1.3,0.469,3,8.4E+01,84,2018,4
1040,1888,Myklebost,Kraftverk,MYKLEBOST_KRAFT_AS,917400482,Vestland,46,Sunnfjord,47,28.04.2018,28.04.2018,5.32,20,190,3.4,0.435,3,084.E3A,84,2018,4
