year,prod_area_id,prod_area_name,prod_area_name2,N_discharge_ton,P_discharge_ton
2014,5,Stad - Hustadvika,5: Stad - Hustadvika,1015.1397209438442,137.66881265835417
2014,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1486.3089682042455,173.66841730236092
2014,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1563.4782070879585,178.98701317954817
2014,8,Helgeland - Bodø,8: Helgeland - Bodø,1023.7,154.3
2014,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,1013.3573625289274,152.1654186866425
2014,10,Andfjorden - Senja,10: Andfjorden - Senja,746.643878676447,97.119341683139
2014,11,Kvaløya - Loppa,11: Kvaløya - Loppa,723.944642141053,92.62892592519705
2014,12,Vest-Finnmark,12: Vest-Finnmark,310.5700194580784,42.94495096473439
2014,13,Øst-Finnmark,13: Øst-Finnmark,307.7,42.6
2015,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,1010.8234082581859,46.67252279887155
2015,2,Ryfylke,2: Ryfylke,1311.065851164633,112.49080655944431
2015,3,Karmøy - Sotra,3: Karmøy - Sotra,2113.6816820237623,185.97541187267643
2015,4,Sotra - Stadt,4: Sotra - Stadt,805.0855986660795,83.61796700994509
2015,5,Stad - Hustadvika,5: Stad - Hustadvika,1042.6140272469581,137.09551877713784
2015,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1505.716234599247,183.0618949606048
2015,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1581.3628464474564,189.65000470297585
2015,8,Helgeland - Bodø,8: Helgeland - Bodø,1040,149.2
2015,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,1029.3444760171974,147.2705331776654
2015,10,Andfjorden - Senja,10: Andfjorden - Senja,754.5623489557346,97.51390005560609
2015,11,Kvaløya - Loppa,11: Kvaløya - Loppa,731.2144629200014,93.42892592519706
2015,12,Vest-Finnmark,12: Vest-Finnmark,312.30842354162735,43.74495096473439
2015,13,Øst-Finnmark,13: Øst-Finnmark,309.4,43.4
2016,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,1050.4628558759805,48.58333465366947
2016,2,Ryfylke,2: Ryfylke,1346.7930089474282,135.92085574714324
2016,3,Karmøy - Sotra,3: Karmøy - Sotra,1911.4120244898484,223.70850074463664
2016,4,Sotra - Stadt,4: Sotra - Stadt,791.8665368663685,93.68496086447473
2016,5,Stad - Hustadvika,5: Stad - Hustadvika,1062.737539782998,133.7957630325605
2016,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1527.7333280412463,196.8259350122193
2016,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1607.8629472032972,210.5022730642093
2016,8,Helgeland - Bodø,8: Helgeland - Bodø,1086.6,167.3
2016,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,1074.6164466007438,165.1584656530485
2016,10,Andfjorden - Senja,10: Andfjorden - Senja,765.5874116967102,109.93308546712316
2016,11,Kvaløya - Loppa,11: Kvaløya - Loppa,739.3778793835431,105.32868779813273
2016,12,Vest-Finnmark,12: Vest-Finnmark,277.1094841251629,37.272507385093434
2016,13,Øst-Finnmark,13: Øst-Finnmark,273.9,36.8
2017,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,1105.7436052534495,49.567622012930286
2017,2,Ryfylke,2: Ryfylke,1334.7296741429232,135.22797426476416
2017,3,Karmøy - Sotra,3: Karmøy - Sotra,1970.7535260111013,235.32591790350662
2017,4,Sotra - Stadt,4: Sotra - Stadt,772.9923168625652,94.02753263612226
2017,5,Stad - Hustadvika,5: Stad - Hustadvika,1052.445443386498,136.55059054259
2017,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1461.8321248926509,166.16404005161448
2017,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1535.235515950863,170.2978370975833
2017,8,Helgeland - Bodø,8: Helgeland - Bodø,1087.7,152.7
2017,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,1074.8542704350878,150.82615744641743
2017,10,Andfjorden - Senja,10: Andfjorden - Senja,743.591640910747,102.50394978373275
2017,11,Kvaløya - Loppa,11: Kvaløya - Loppa,715.9915277166155,98.49012406955924
2017,12,Vest-Finnmark,12: Vest-Finnmark,311.2103559711362,41.694327643583044
2017,13,Øst-Finnmark,13: Øst-Finnmark,308.4,41.3
2018,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,979.7639164929361,52.14865269906128
2018,2,Ryfylke,2: Ryfylke,1201.3641048730485,167.1032704777897
2018,3,Karmøy - Sotra,3: Karmøy - Sotra,1975.488832055949,222.57527397833664
2018,4,Sotra - Stadt,4: Sotra - Stadt,770.4187295841373,91.44295082126018
2018,5,Stad - Hustadvika,5: Stad - Hustadvika,1050.811811768673,134.51263519762335
2018,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1422.789840491678,170.52696402336056
2018,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1495.4243709534019,175.6388691114664
2018,8,Helgeland - Bodø,8: Helgeland - Bodø,1142.3,148.7
2018,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,1133.2541032942079,147.29548721401233
2018,10,Andfjorden - Senja,10: Andfjorden - Senja,899.9806629634002,111.07624436480155
2018,11,Kvaløya - Loppa,11: Kvaløya - Loppa,879.75140990459,107.92760996880948
2018,12,Vest-Finnmark,12: Vest-Finnmark,449.2886606447564,39.6738789595059
2018,13,Øst-Finnmark,13: Øst-Finnmark,446.3,39.2
2019,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,1004.465990567568,50.900809646981465
2019,2,Ryfylke,2: Ryfylke,1188.9140945291986,148.99523591720504
2019,3,Karmøy - Sotra,3: Karmøy - Sotra,1983.3440563597962,218.40368534836716
2019,4,Sotra - Stadt,4: Sotra - Stadt,764.973953154464,87.06781776516769
2019,5,Stad - Hustadvika,5: Stad - Hustadvika,1071.9237898274741,143.72303681500838
2019,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1485.5488463080276,175.47167847323894
2019,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1563.7941722635055,178.20526082525626
2019,8,Helgeland - Bodø,8: Helgeland - Bodø,1146.2,151.6
2019,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,1133.9035600890138,149.8999832862674
2019,10,Andfjorden - Senja,10: Andfjorden - Senja,816.8058819759977,106.06035518412861
2019,11,Kvaløya - Loppa,11: Kvaløya - Loppa,790.7808622293809,102.37449554437181
