"","municip_number","location_number","latlon","sea_temperature","sitting_lice","moving_lice","adult_females","year","month","date","prod_area_id","prod_area_name"
"94","1941",10720,"(-999.0,-999.0)",3.3,NA,0,0,2009,4,1,11,"Kvaløya - Loppa"
"95","1941",10720,"(-999.0,-999.0)",3.5,NA,0,0,2009,5,1,11,"Kvaløya - Loppa"
"96","1941",10720,"(-999.0,-999.0)",6.2,NA,0,0,2009,6,1,11,"Kvaløya - Loppa"
"97","1941",10720,"(-999.0,-999.0)",7,NA,0,0,2009,7,1,11,"Kvaløya - Loppa"
"98","2012",10812,"(-999.0,-999.0)",4.4,NA,0.2,0,2005,2,1,12,"Vest-Finnmark"
"99","2012",10812,"(-999.0,-999.0)",3.6,NA,1,1,2005,3,1,12,"Vest-Finnmark"
"100","2012",10812,"(-999.0,-999.0)",2.82,NA,1,1,2005,4,1,12,"Vest-Finnmark"
"101","2012",10812,"(-999.0,-999.0)",NA,NA,NA,NA,2005,5,1,12,"Vest-Finnmark"
"102","2012",10812,"(-999.0,-999.0)",4.55,NA,0,1,2005,6,1,12,"Vest-Finnmark"
"103","2012",10812,"(-999.0,-999.0)",8.47,NA,0,0,2005,7,1,12,"Vest-Finnmark"
"104","2012",10812,"(-999.0,-999.0)",11.65,NA,0.05,0,2005,8,1,12,"Vest-Finnmark"
"105","2012",10812,"(-999.0,-999.0)",11.14,NA,1,0,2005,9,1,12,"Vest-Finnmark"
"106","2012",10812,"(-999.0,-999.0)",9.21,NA,1.5,0,2005,10,1,12,"Vest-Finnmark"
"107","2012",10812,"(-999.0,-999.0)",7.97,NA,0,0.06,2005,11,1,12,"Vest-Finnmark"
"108","2012",10812,"(-999.0,-999.0)",6.09,NA,0,0,2005,12,1,12,"Vest-Finnmark"
"109","2012",10812,"(-999.0,-999.0)",6.19,NA,0.1,0.1,2006,1,1,12,"Vest-Finnmark"
"110","2012",10812,"(-999.0,-999.0)",5.19,NA,0.2,0.2,2006,2,1,12,"Vest-Finnmark"
"111","2012",10812,"(-999.0,-999.0)",4.43,NA,0.1,0.12,2006,3,1,12,"Vest-Finnmark"
"112","2012",10812,"(-999.0,-999.0)",3.35,NA,0.2,0.2,2006,4,1,12,"Vest-Finnmark"
"113","2012",10812,"(-999.0,-999.0)",2.16,NA,0,0,2006,5,1,12,"Vest-Finnmark"
"114","2012",10815,"(-999.0,-999.0)",4.5,NA,0.1,0.1,2005,2,1,12,"Vest-Finnmark"
"115","2012",10815,"(-999.0,-999.0)",3.4,NA,0.5,0,2005,3,1,12,"Vest-Finnmark"
"116","2012",10815,"(-999.0,-999.0)",NA,NA,NA,NA,2005,4,1,12,"Vest-Finnmark"
"117","2012",10815,"(-999.0,-999.0)",2.99,NA,0,0,2005,5,1,12,"Vest-Finnmark"
"118","2012",10815,"(-999.0,-999.0)",4.54,NA,0.2,0.3,2005,6,1,12,"Vest-Finnmark"
"119","2012",10815,"(-999.0,-999.0)",6.73,NA,0,0,2005,7,1,12,"Vest-Finnmark"
"120","2012",10815,"(-999.0,-999.0)",4.29,NA,0,0,2007,5,1,12,"Vest-Finnmark"
"121","2012",10815,"(-999.0,-999.0)",5.04,NA,0,0,2007,6,1,12,"Vest-Finnmark"
"122","2012",10815,"(-999.0,-999.0)",9.24,NA,0,0,2007,7,1,12,"Vest-Finnmark"
"123","2012",10815,"(-999.0,-999.0)",9.53,NA,0,0,2007,8,1,12,"Vest-Finnmark"
"124","2012",10815,"(-999.0,-999.0)",11.77,NA,0.05,0,2007,9,1,12,"Vest-Finnmark"
"125","2012",10815,"(-999.0,-999.0)",9.98,NA,0,0,2007,10,1,12,"Vest-Finnmark"
"126","2012",10815,"(-999.0,-999.0)",8.99,NA,0,0,2007,11,1,12,"Vest-Finnmark"
"127","2012",10815,"(-999.0,-999.0)",7.74,NA,0,0,2007,12,1,12,"Vest-Finnmark"
"128","2012",10815,"(-999.0,-999.0)",6.23,NA,0,0,2008,1,1,12,"Vest-Finnmark"
"129","2012",10815,"(-999.0,-999.0)",5.16,NA,0,0,2008,2,1,12,"Vest-Finnmark"
"130","2012",10815,"(-999.0,-999.0)",4.11,NA,0,0,2008,3,1,12,"Vest-Finnmark"
"131","2012",10815,"(-999.0,-999.0)",4.3,NA,0,0,2008,4,1,12,"Vest-Finnmark"
