"year","county","municip_number","production_final","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name"
2006,"HORDALAND","1266",1392645.862,"Masfjorden",641.7115291,85.64212657,4,"Sotra - Stadt"
2006,"MØRE OG ROMSDAL","1502",2093005.981,"Molde",585.0810002,222.447664,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1505",6336924.734,"Kristiansund",669.4597917,582.0243919,6,"Nordmøre - Sør-Trøndelag"
2006,"MØRE OG ROMSDAL","1511",2818550.399,"Vanylven",483.5926223,98.374729,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1514",476492.147,"Sande",458.0518878,364.8451659,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1515",2874860.455,"Herøy",1193.288082,1073.763572,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1519",4646898.07,"Volda",656.4932671,109.2593826,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1520",4920781.127,"Ørsta",943.5737474,139.138279,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1524",NA,"Norddal",986.6701771,43.15651477,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1525",8292688.02,"Stranda",944.3724368,78.50341444,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1529",620308.07,"Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1532",3221474.541,"Giske",907.7717564,867.2287433,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1534",2008601.58,"Haram",1063.325832,802.1936015,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1535",5832018.572,"Vestnes",466.4075422,114.7066027,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1539",1963677.603,"Rauma",1635.105545,132.9582198,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1543",182439.933,"Nesset",1131.560319,85.48888667,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1502",148259.992,"Molde",585.0810002,222.447664,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1545",NA,"Midsund",275.1037587,180.4542533,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1547",2819836.862,"Aukra",461.7591187,402.6819283,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1548",1164943.285,"Fræna",1123.537617,753.7385211,5,"Stad - Hustadvika"
2006,"MØRE OG ROMSDAL","1551",NA,"Eide",445.1395783,293.0397792,6,"Nordmøre - Sør-Trøndelag"
2006,"MØRE OG ROMSDAL","1554",1858043.917,"Averøy",718.5878787,542.9088935,6,"Nordmøre - Sør-Trøndelag"
2006,"MØRE OG ROMSDAL","1560",2381243.856,"Tingvoll",504.8050354,167.995332,6,"Nordmøre - Sør-Trøndelag"
2006,"MØRE OG ROMSDAL","1557",6307911.311,"Gjemnes",470.6056636,88.97445949,6,"Nordmøre - Sør-Trøndelag"
2006,"MØRE OG ROMSDAL","1560",NA,"Tingvoll",504.8050354,167.995332,6,"Nordmøre - Sør-Trøndelag"
2006,"MØRE OG ROMSDAL","1563",NA,"Sunndal",1799.591061,86.22058664,6,"Nordmøre - Sør-Trøndelag"
2006,"MØRE OG ROMSDAL","1566",690276.6,"Surnadal",1453.246482,87.19487793,6,"Nordmøre - Sør-Trøndelag"
2006,"MØRE OG ROMSDAL","1571",7012535.054,"Halsa",383.3083884,82.7797689,6,"Nordmøre - Sør-Trøndelag"
2006,"MØRE OG ROMSDAL","1573",11426755.905,"Smøla",2154.4903,1882.580854,6,"Nordmøre - Sør-Trøndelag"
2006,"MØRE OG ROMSDAL","1576",4561448.872,"Aure",1048.31036,406.9303226,6,"Nordmøre - Sør-Trøndelag"
2006,"NORDLAND","1804",1565082.681,"Bodø",4826.69546,3431.421782,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1811",3960461.713,"Bindal",1905.535218,641.2837483,7,"Nord-Trøndelag - Bindal"
2006,"NORDLAND","1812",3567771.951,"Sømna",790.0974216,594.8391077,8,"Helgeland - Bodø"
2006,"NORDLAND","1813",2653181.922,"Brønnøy",2099.156683,1052.809515,8,"Helgeland - Bodø"
2006,"NORDLAND","1815",1706243.373,"Vega",2921.376588,2756.590844,8,"Helgeland - Bodø"
2006,"NORDLAND","1816",4763285.334,"Vevelstad",661.1474773,122.0988447,8,"Helgeland - Bodø"
2006,"NORDLAND","1818",NA,"Herøy",2262.099657,2197.637411,8,"Helgeland - Bodø"
2006,"NORDLAND","1820",2550567.09,"Alstahaug",585.2205361,397.1046147,8,"Helgeland - Bodø"
2006,"NORDLAND","1824",1722185.736,"Vefsn",2030.300385,100.8914234,8,"Helgeland - Bodø"
2006,"NORDLAND","1827",516232.278,"Dønna",759.3091081,567.3688444,8,"Helgeland - Bodø"
2006,"NORDLAND","1828",926686.309,"Nesna",402.8211117,219.6396197,8,"Helgeland - Bodø"
2006,"NORDLAND","1833",858279.262,"Rana",4588.20917,128.0210568,8,"Helgeland - Bodø"
2006,"NORDLAND","1834",12072987.591,"Lurøy",1337.693384,1072.508261,8,"Helgeland - Bodø"
2006,"NORDLAND","1835",461024.581,"Træna",1793.812792,1777.298315,8,"Helgeland - Bodø"
2006,"NORDLAND","1836",12468604.491,"Rødøy",3103.057128,2391.768309,8,"Helgeland - Bodø"
2006,"NORDLAND","1837",5801144.897,"Meløy",2746.283777,1872.455608,8,"Helgeland - Bodø"
2006,"NORDLAND","1838",6471414.789,"Gildeskål",1502.253204,837.5510572,8,"Helgeland - Bodø"
2006,"NORDLAND","1840",237593.887,"Saltdal",2245.948768,29.75933009,8,"Helgeland - Bodø"
2006,"NORDLAND","1841",2282362.926,"c(\Fauske\, \Fuossko\)",1293.965081,96.99544864,8,"Helgeland - Bodø"
2006,"NORDLAND","1845",6610755.482,"Sørfold",1829.725893,192.322705,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1848",10766202.927,"Steigen",3484.477675,2475.231549,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1849",819315.348,"c(\Hamarøy\, \Hábmer\)",1562.514447,528.9225273,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1850",1382636.675,"c(\Tysfjord\, \Divtasvuodna\)",1929.019449,465.2612621,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1851",4887889.985,"Lødingen",1043.931094,516.5166935,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1854",637152.877,"Ballangen",1193.130637,260.9146791,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1859",2858617.055,"Flakstad",1172.39812,994.0116752,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1860",NA,"Vestvågøy",2109.641746,1685.080756,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1865",8064381.01,"Vågan",2087.475486,1608.301755,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1866",5871421.994,"Hadsel",1184.413105,617.8636024,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1867",3779146.867,"Bø",1825.744963,1579.045433,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1868",4770834.191,"Øksnes",1815.174302,1495.658041,9,"Vestfjorden - Vesterålen"
2006,"NORDLAND","1870",4295428.107,"c(\Sortland\, \Suortá\)",1093.027537,371.1023103,9,"Vestfjorden - Vesterålen"
2006,"ROGALAND OG AGDER","0926",443013.129,"Lillesand",850.7528011,660.3214617,1,"Svenskegrensen - Jæren"
2006,"ROGALAND OG AGDER","1004",7437817.822,"Flekkefjord",859.7897118,315.7247669,1,"Svenskegrensen - Jæren"
2006,"ROGALAND OG AGDER","1102",1649924.894,"Sandnes",354.2062791,50.16293802,2,"Ryfylke"
